year	total	datacite	crossref
1996	1	1	0
2007	1	1	0
2010	5	5	0
2011	12	12	0
2012	16	16	0
2013	19	19	0
2014	26	26	0
2015	55	55	0
2016	71	71	0
2017	73	73	0
2018	87	87	0
2019	86	86	0
2020	75	75	0
2021	158	158	0
2022	182	182	0
2023	375	375	0
2024	1407	1406	1
2025	1977	1977	0
2026	11	11	0
