year	total	datacite	crossref
1996	1	1	0
2005	1	1	0
2007	1	1	0
2010	5	5	0
2011	12	12	0
2012	16	16	0
2013	19	19	0
2014	26	26	0
2015	55	55	0
2016	72	72	0
2017	79	79	0
2018	87	87	0
2019	86	86	0
2020	75	75	0
2021	161	161	0
2022	190	190	0
2023	453	453	0
2024	2250	2249	1
2025	3487	3487	0
2026	21	21	0
